idx,terminate_reason,time_to_goal_s,min_clearance_m,n_steps,mean_speed,wall_s
0,goal,4.495500000000001,2.9371238346099853,135,4.332876493333391,4.33
1,goal,4.5288,0.02276347732543943,136,4.297456745612983,4.12
2,timeout,nan,5.7522406539916995,300,2.0257637196965517,9.09
3,static_collision,nan,4.8922161293029784,87,3.174916498266674,2.65
4,goal,5.1615,5.902592899322509,155,3.97426123621483,4.7
5,timeout,nan,2.2184516563415526,300,2.1982997332233936,9.08
6,timeout,nan,0.1749140315055847,300,2.4253962830702465,9.08
7,goal,5.2281,3.1943958320617676,157,3.8004770009677595,4.75
8,timeout,nan,2.208638109207153,300,2.028325235930582,9.08
9,timeout,nan,4.37687739944458,300,2.4015823074088742,9.09
10,timeout,nan,2.043619211196899,300,2.3525779317505657,9.09
11,static_collision,nan,2.7508360691070557,123,4.602756191287341,3.74
12,goal,4.828500000000001,4.258590103149414,145,4.160261543287799,4.39
13,static_collision,nan,inf,0,0.0,0.03
14,timeout,nan,1.4689747734069825,300,2.0830919666402044,9.08
15,goal,4.4289000000000005,2.372900686264038,133,4.370231370217538,4.02
16,goal,4.6287,2.111216463088989,139,4.201134372783972,4.21
17,goal,4.4622,0.3106544694900512,134,4.384159889551741,4.05
18,timeout,nan,3.1793835048675536,300,2.4096021547323714,9.09
19,timeout,nan,2.224592887878418,300,2.2593510584634107,9.09
20,goal,4.662000000000001,2.822978580474853,140,4.220722669037059,4.24
21,timeout,nan,0.5858981046676637,300,2.285075886193663,9.08
22,goal,4.928400000000001,5.934924381256104,148,4.047654348104638,4.48
23,timeout,nan,3.056499111175537,300,2.0579759532616784,9.08
24,timeout,nan,2.9874009647369384,300,2.295785922352225,9.08
25,timeout,nan,8.57870852661133,300,2.0611943830984334,9.09
26,static_collision,nan,inf,0,0.0,0.02
27,timeout,nan,4.779657077789307,300,2.1732547663648925,9.09
28,goal,4.495500000000001,0.6611692714691162,135,4.4362180044184685,4.08
29,timeout,nan,2.6840564136505125,300,2.1201695258263498,9.08
