name,steps,wall_s,n_dyn,n_stat,total_head,total_tail,stat_traj_head,stat_traj_tail,dyn_traj_tail,dyn_dyn_head,dyn_dyn_tail,dyn_kino_tail,revae_tail
F_v2_temporal_off,5000,145.5,2509,2491,5.6789,4.2637,4.068,3.5444,3.755,0.2485,0.2397,0.0001,0.0354
G_v2_temporal_on,5000,217.8,2457,2543,5.4241,4.2119,3.9953,3.5622,3.7612,0.2517,0.2426,0.0001,0.0418
